Provincia,Tecnología,Accesos
BUENOS AIRES,ADSL,203297
CABA,ADSL,70108
CATAMARCA,ADSL,5901
CHACO,ADSL,11343
CHUBUT,ADSL,26306
CORDOBA,ADSL,102812
CORRIENTES,ADSL,18390
ENTRE RIOS,ADSL,36574
FORMOSA,ADSL,9147
JUJUY,ADSL,10554
LA PAMPA,ADSL,6844
LA RIOJA,ADSL,2827
MENDOZA,ADSL,17674
MISIONES,ADSL,23217
NEUQUEN,ADSL,24076
RIO NEGRO,ADSL,20841
SALTA,ADSL,23858
SAN JUAN,ADSL,12669
SANTA CRUZ,ADSL,7768
SANTA FE,ADSL,86548
SANTIAGO DEL ESTERO,ADSL,6644
San Luis,ADSL,4038
TIERRA DEL FUEGO,ADSL,9357
TUCUMAN,ADSL,33682
BUENOS AIRES,CABLEMODEM,2790663
CABA,CABLEMODEM,1177475
CATAMARCA,CABLEMODEM,11025
CHACO,CABLEMODEM,58929
CHUBUT,CABLEMODEM,77217
CORDOBA,CABLEMODEM,449784
CORRIENTES,CABLEMODEM,85595
ENTRE RIOS,CABLEMODEM,158283
FORMOSA,CABLEMODEM,18631
JUJUY,CABLEMODEM,51093
LA PAMPA,CABLEMODEM,59008
LA RIOJA,CABLEMODEM,55443
MENDOZA,CABLEMODEM,70932
MISIONES,CABLEMODEM,77561
NEUQUEN,CABLEMODEM,73298
RIO NEGRO,CABLEMODEM,49727
SALTA,CABLEMODEM,99150
SAN JUAN,CABLEMODEM,18543
SANTA CRUZ,CABLEMODEM,14435
SANTA FE,CABLEMODEM,399817
SANTIAGO DEL ESTERO,CABLEMODEM,80722
San Luis,CABLEMODEM,41260
TIERRA DEL FUEGO,CABLEMODEM,48005
TUCUMAN,CABLEMODEM,20361
BUENOS AIRES,DIAL UP,5900
CABA,DIAL UP,2050
CATAMARCA,DIAL UP,1
CHACO,DIAL UP,5
CHUBUT,DIAL UP,857
CORDOBA,DIAL UP,63
CORRIENTES,DIAL UP,3
ENTRE RIOS,DIAL UP,20
FORMOSA,DIAL UP,0
JUJUY,DIAL UP,0
LA PAMPA,DIAL UP,162
LA RIOJA,DIAL UP,4
MENDOZA,DIAL UP,730
MISIONES,DIAL UP,0
NEUQUEN,DIAL UP,439
RIO NEGRO,DIAL UP,515
SALTA,DIAL UP,5
SAN JUAN,DIAL UP,247
SANTA CRUZ,DIAL UP,187
SANTA FE,DIAL UP,106
SANTIAGO DEL ESTERO,DIAL UP,2
San Luis,DIAL UP,165
TIERRA DEL FUEGO,DIAL UP,305
TUCUMAN,DIAL UP,27
BUENOS AIRES,FIBRA OPTICA,1799013
CABA,FIBRA OPTICA,203756
CATAMARCA,FIBRA OPTICA,56542
CHACO,FIBRA OPTICA,64463
CHUBUT,FIBRA OPTICA,26356
CORDOBA,FIBRA OPTICA,458985
CORRIENTES,FIBRA OPTICA,38268
ENTRE RIOS,FIBRA OPTICA,66180
FORMOSA,FIBRA OPTICA,17908
JUJUY,FIBRA OPTICA,51084
LA PAMPA,FIBRA OPTICA,35556
LA RIOJA,FIBRA OPTICA,23086
MENDOZA,FIBRA OPTICA,185460
MISIONES,FIBRA OPTICA,81498
NEUQUEN,FIBRA OPTICA,41577
RIO NEGRO,FIBRA OPTICA,66889
SALTA,FIBRA OPTICA,61543
SAN JUAN,FIBRA OPTICA,44904
