Provincia,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS
BUENOS AIRES,203297,2790663,5900,1799013,92651,1061,1682,150290
CABA,70108,1177475,2050,203756,46762,67,0,4493
CATAMARCA,5901,11025,1,56542,1,79,0,1384
CHACO,11343,58929,5,64463,12323,76,0,8404
CHUBUT,26306,77217,857,26356,8906,167,0,30867
CORDOBA,102812,449784,63,458985,9268,95,71,61121
CORRIENTES,18390,85595,3,38268,5093,77,59,10409
ENTRE RIOS,36574,158283,20,66180,11297,24,224,23950
FORMOSA,9147,18631,0,17908,128,53,0,16851
JUJUY,10554,51093,0,51084,1127,89,0,4106
LA PAMPA,6844,59008,162,35556,872,72,0,19681
LA RIOJA,2827,55443,4,23086,6,20,0,6396
MENDOZA,17674,70932,730,185460,158,37,0,27606
MISIONES,23217,77561,0,81498,6851,51,0,13378
NEUQUEN,24076,73298,439,41577,183,134,152,24387
RIO NEGRO,20841,49727,515,66889,15106,208,0,17733
SALTA,23858,99150,5,61543,6365,133,0,11807
SAN JUAN,12669,18543,247,44904,6677,32,0,23594
SANTA CRUZ,7768,14435,187,49545,406,68,0,7799
SANTA FE,86548,399817,106,374288,13533,134,0,44162
SANTIAGO DEL ESTERO,6644,80722,2,27018,2789,129,0,7058
San Luis,4038,41260,165,31539,70,64,0,78954
TIERRA DEL FUEGO,9357,48005,305,3684,4,23,0,177
TUCUMAN,33682,20361,27,205959,454,37,0,4075
