Año,Trimestre,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total,Periodo,ADSL (%),Cablemodem (%),Fibra óptica (%),Wireless (%),Otros (%)
2024,1,774475,5986957,4015101,598682,257941,11633156,Ene-Mar 2024,0.06657479707140522,0.5146459825691325,0.3451428829803366,0.05146342058853161,0.022172916790594056
2023,4,836390,6022532,3908183,585760,194796,11547661,Oct-Dic 2023,0.07242938634932217,0.5215369588698525,0.3384393601440153,0.050725423962480365,0.01686887067432963
2023,3,897895,6018832,3708718,581436,200027,11406908,Jul-Sept 2023,0.07871502075759707,0.5276479831344305,0.3251291235100695,0.050972270487322245,0.017535602110580712
2023,2,1006509,5997149,3463988,581823,202428,11251897,Abr-Jun 2023,0.08945238300706095,0.5329900371466252,0.3078581327219757,0.05170888073362207,0.01799056639071616
2023,1,1204417,6002582,3243411,576647,214838,11241895,Ene-Mar 2023,0.10713647476693208,0.5339475239717147,0.28851105618759115,0.051294465924116885,0.019110479149645143
2022,4,1315373,6037457,3060575,572969,221740,11208114,Oct-Dic 2022,0.11735899545632744,0.5386684146860033,0.2730677971333982,0.05112091115418705,0.01978388157008396
2022,3,1395277,6031970,2871541,557110,235230,11091128,Jul-Sept 2022,0.12580118090783912,0.5438554130833221,0.2589043242490755,0.05023023807857956,0.021208843681183736
2022,2,1468333,5979214,2723285,556243,231609,10958684,Abr-Jun 2022,0.1339880774005346,0.5456142361619333,0.2485047474678529,0.05075819322831099,0.021134745741368217
2022,1,1533240,6073426,2219533,545814,251996,10624009,Ene-Mar 2022,0.14431840183870326,0.571669884692304,0.20891670931378165,0.051375521236851365,0.023719482918359725
2021,4,1657615,5984240,2072236,523107,252596,10489794,Oct-Dic 2021,0.15802169232303323,0.5704821276757198,0.19754782601069193,0.0498681861626644,0.024080167827890613
2021,3,1950631,5826257,1566048,492415,250190,10085541,Jul-Sept 2021,0.19340866295620632,0.577684132165047,0.15527654887328304,0.04882385585463388,0.024806800150829787
2021,2,2018587,5641731,1472246,476968,253552,9863084,Abr-Jun 2021,0.204660834278609,0.5720047603771802,0.1492683221596815,0.04835891086398534,0.02570717232054396
2021,1,2175211,5424782,1362976,434548,250455,9647972,Ene-Mar 2021,0.22545784751448283,0.5622717395946009,0.1412707250808771,0.045040346302829236,0.025959341507210014
2020,4,2213949,5371824,1311199,421554,253036,9571562,Oct-Dic 2020,0.23130488001853824,0.5612275196044282,0.13698903063052822,0.044042341260496456,0.026436228486008868
2020,3,2263889,5259351,1170879,413259,248821,9356199,Jul-Sept 2020,0.2419667431186532,0.5621247474535332,0.1251447302478282,0.044169539361016155,0.02659423981896922
