Provincia,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS,Tecnología más popular,Accesos más populares
BUENOS AIRES,203297,2790663,5900,1799013,92651,1061,1682,150290,CABLEMODEM,2790663
CABA,70108,1177475,2050,203756,46762,67,0,4493,CABLEMODEM,1177475
CATAMARCA,5901,11025,1,56542,1,79,0,1384,FIBRA OPTICA,56542
CHACO,11343,58929,5,64463,12323,76,0,8404,FIBRA OPTICA,64463
CHUBUT,26306,77217,857,26356,8906,167,0,30867,CABLEMODEM,77217
CORDOBA,102812,449784,63,458985,9268,95,71,61121,FIBRA OPTICA,458985
CORRIENTES,18390,85595,3,38268,5093,77,59,10409,CABLEMODEM,85595
ENTRE RIOS,36574,158283,20,66180,11297,24,224,23950,CABLEMODEM,158283
FORMOSA,9147,18631,0,17908,128,53,0,16851,CABLEMODEM,18631
JUJUY,10554,51093,0,51084,1127,89,0,4106,CABLEMODEM,51093
LA PAMPA,6844,59008,162,35556,872,72,0,19681,CABLEMODEM,59008
LA RIOJA,2827,55443,4,23086,6,20,0,6396,CABLEMODEM,55443
MENDOZA,17674,70932,730,185460,158,37,0,27606,FIBRA OPTICA,185460
MISIONES,23217,77561,0,81498,6851,51,0,13378,FIBRA OPTICA,81498
NEUQUEN,24076,73298,439,41577,183,134,152,24387,CABLEMODEM,73298
RIO NEGRO,20841,49727,515,66889,15106,208,0,17733,FIBRA OPTICA,66889
SALTA,23858,99150,5,61543,6365,133,0,11807,CABLEMODEM,99150
SAN JUAN,12669,18543,247,44904,6677,32,0,23594,FIBRA OPTICA,44904
SANTA CRUZ,7768,14435,187,49545,406,68,0,7799,FIBRA OPTICA,49545
SANTA FE,86548,399817,106,374288,13533,134,0,44162,CABLEMODEM,399817
SANTIAGO DEL ESTERO,6644,80722,2,27018,2789,129,0,7058,CABLEMODEM,80722
San Luis,4038,41260,165,31539,70,64,0,78954,WIRELESS,78954
TIERRA DEL FUEGO,9357,48005,305,3684,4,23,0,177,CABLEMODEM,48005
TUCUMAN,33682,20361,27,205959,454,37,0,4075,FIBRA OPTICA,205959
nan,0,0,0,0,0,0,0,0,ADSL,0
