Provincia,Velocidad_Categoria,Usuarios,Categoria
BUENOS AIRES,Link Indec,6854100.0,
BUENOS AIRES,Link Indec,6854010.0,
BUENOS AIRES,Link Indec,6854020.0,
BUENOS AIRES,Link Indec,6854030.0,
BUENOS AIRES,Link Indec,6854040.0,
BUENOS AIRES,Link Indec,6854050.0,
BUENOS AIRES,Link Indec,6854060.0,
BUENOS AIRES,Link Indec,6854070.0,
BUENOS AIRES,Link Indec,6854080.0,
BUENOS AIRES,Link Indec,6854090.0,
BUENOS AIRES,Link Indec,6588030.0,
BUENOS AIRES,Link Indec,6588100.0,
BUENOS AIRES,Link Indec,6588010.0,
BUENOS AIRES,Link Indec,6588040.0,
BUENOS AIRES,Link Indec,6588060.0,
BUENOS AIRES,Link Indec,6588080.0,
BUENOS AIRES,Link Indec,6588110.0,
BUENOS AIRES,Link Indec,6588120.0,
BUENOS AIRES,Link Indec,6007010.0,
BUENOS AIRES,Link Indec,6007020.0,
BUENOS AIRES,Link Indec,6007050.0,
BUENOS AIRES,Link Indec,6007070.0,
BUENOS AIRES,Link Indec,6007080.0,
BUENOS AIRES,Link Indec,6014010.0,
BUENOS AIRES,Link Indec,6014020.0,
BUENOS AIRES,Link Indec,6014030.0,
BUENOS AIRES,Link Indec,6014040.0,
BUENOS AIRES,Link Indec,6021010.0,
BUENOS AIRES,Link Indec,6021020.0,
BUENOS AIRES,Link Indec,6021030.0,
BUENOS AIRES,Link Indec,6021070.0,
BUENOS AIRES,Link Indec,6028010.0,
BUENOS AIRES,Link Indec,6028010.0,
BUENOS AIRES,Link Indec,6028010.0,
BUENOS AIRES,Link Indec,6028010.0,
BUENOS AIRES,Link Indec,6028010.0,
BUENOS AIRES,Link Indec,6028010.0,
BUENOS AIRES,Link Indec,6028010.0,
BUENOS AIRES,Link Indec,6028010.0,
BUENOS AIRES,Link Indec,6028010.0,
BUENOS AIRES,Link Indec,6028010.0,
BUENOS AIRES,Link Indec,6028010.0,
BUENOS AIRES,Link Indec,6028010.0,
BUENOS AIRES,Link Indec,6077010.0,
BUENOS AIRES,Link Indec,6077020.0,
BUENOS AIRES,Link Indec,6077030.0,
BUENOS AIRES,Link Indec,6035010.0,
BUENOS AIRES,Link Indec,6035010.0,
BUENOS AIRES,Link Indec,6035010.0,
BUENOS AIRES,Link Indec,6035010.0,
